id;campaign_sms_marketing_id;batch_id;phone_number;content;status;send_date;response_batch;create_datetime;create_user
1;86242;66887;Tokelau;Borders;Rubber Iowa;2021-06-29T17:08:16;digital;2021-06-29T11:03:38;4320
2;74856;25348;Bedfordshire;quantify backing up;copying;2021-06-29T19:30:35;Agent Incredible;2021-06-29T09:03:06;92261
3;88901;48862;cross-platform Corporate;visualize Table Specialist;action-items solution;2021-06-30T04:13:21;transmit;2021-06-30T07:42:01;3136
4;57038;83985;FTP Incredible convergence;Cambridgeshire deposit User-centric;Berkshire;2021-06-30T06:15:42;Money Market Account payment;2021-06-29T15:49:31;90885
5;63131;58718;1080p;local area network Florida;Money Market Account copying;2021-06-30T04:23:39;middleware Assistant;2021-06-29T14:17:47;60130
6;71306;77539;quantify;reciprocal XSS;payment;2021-06-29T14:29:31;strategize Forward;2021-06-29T17:12:48;81090
7;72856;35392;online Frozen;synthesize Kina Auto Loan Account;Chilean Peso Unidades de fomento system bypassing;2021-06-29T14:23:54;Computers Customer;2021-06-29T17:24:32;5539
8;29064;33982;Concrete implement Books;Brand parse Chips;Creative Small Soft Pants reintermediate;2021-06-29T13:22:23;Sleek Cambridgeshire synthesizing;2021-06-29T15:53:31;68517
9;19164;84108;program;Corporate;Coordinator function;2021-06-29T18:34:49;Brand 1080p Director;2021-06-29T11:47:36;73633
10;28725;84113;Tugrik;FTP;input invoice;2021-06-30T07:32:12;strategize 24/365 Diverse;2021-06-29T20:34:41;83826
